customer_id,customer_age,employment_type,branch_category,monthly_salary,credit_score,savings_balance,dti_ratio,existing_loans,monthly_expenses,customer_risk_score,recommended_loan_scheme
CUST-10000,59,Salaried-Govt,Tier-1-Metro,10000.0,654,26100.0,42.7,1,4700.0,50,Standard Credit Builder Loan
CUST-10001,49,Gig-Worker,Tier-2-Urban,2900.0,700,3500.0,9.2,2,600.0,31,Standard Credit Builder Loan
CUST-10002,35,Self-Employed-Business,Tier-1-Metro,11800.0,728,28300.0,51.5,1,6600.0,46,Guaranteed Secured Loan
CUST-10003,63,Salaried-Govt,Tier-3-SemiUrban,8400.0,775,10800.0,54.2,0,5300.0,40,Guaranteed Secured Loan
CUST-10004,28,Self-Employed-Business,Rural,17700.0,712,51700.0,24.6,3,4900.0,38,Enterprise Preferred Express Loan
CUST-10005,41,Salaried-Corporate,Tier-1-Metro,6000.0,633,27200.0,13.0,0,1500.0,31,Standard Credit Builder Loan
CUST-10006,59,Salaried-Corporate,Tier-2-Urban,7900.0,656,61600.0,39.0,2,3600.0,48,Standard Credit Builder Loan
CUST-10007,39,Salaried-Govt,Tier-1-Metro,17600.0,710,61500.0,9.4,0,2300.0,16,Enterprise Preferred Express Loan
CUST-10008,43,Self-Employed-Professional,Tier-2-Urban,20500.0,803,44100.0,30.7,1,6800.0,24,Super-Prime Privilege Loan
CUST-10009,31,Self-Employed-Professional,Tier-1-Metro,6000.0,742,10500.0,20.8,1,2000.0,28,Enterprise Preferred Express Loan
CUST-10010,31,Salaried-Corporate,Tier-1-Metro,10000.0,652,18000.0,30.2,1,3500.0,44,Standard Credit Builder Loan
CUST-10011,44,Salaried-Govt,Tier-1-Metro,10700.0,759,20800.0,8.9,1,1500.0,18,Super-Prime Privilege Loan
CUST-10012,56,Salaried-Corporate,Tier-2-Urban,11200.0,681,69600.0,10.4,0,1700.0,19,Enterprise Preferred Express Loan
CUST-10013,60,Gig-Worker,Tier-1-Metro,7600.0,777,7300.0,8.8,1,1100.0,17,Super-Prime Privilege Loan
CUST-10014,44,Gig-Worker,Tier-1-Metro,19300.0,850,154000.0,37.1,1,7500.0,11,Enterprise Preferred Express Loan
CUST-10015,23,Self-Employed-Business,Tier-2-Urban,2900.0,683,12800.0,34.3,0,1200.0,39,Standard Credit Builder Loan
CUST-10016,42,Self-Employed-Professional,Tier-2-Urban,7000.0,770,32100.0,19.0,4,2000.0,34,Super-Prime Privilege Loan
CUST-10017,22,Self-Employed-Business,Tier-3-SemiUrban,11700.0,654,37200.0,38.4,2,4900.0,50,Standard Credit Builder Loan
CUST-10018,44,Salaried-Govt,Tier-1-Metro,11800.0,702,67000.0,49.6,2,6300.0,48,Standard Credit Builder Loan
CUST-10019,64,Salaried-Corporate,Tier-3-SemiUrban,20200.0,712,81500.0,21.0,1,5000.0,25,Enterprise Preferred Express Loan
CUST-10020,50,Salaried-Govt,Tier-2-Urban,18400.0,695,54600.0,47.1,0,9200.0,41,Standard Credit Builder Loan
CUST-10021,58,Self-Employed-Business,Tier-1-Metro,7500.0,850,18700.0,39.1,1,3200.0,26,Enterprise Preferred Express Loan
CUST-10022,22,Self-Employed-Business,Tier-2-Urban,19500.0,687,145100.0,9.6,2,2600.0,18,Enterprise Preferred Express Loan
CUST-10023,41,Salaried-Corporate,Tier-1-Metro,5800.0,754,15600.0,25.6,0,1800.0,25,Enterprise Preferred Express Loan
CUST-10024,53,Self-Employed-Professional,Rural,15700.0,565,59200.0,31.9,1,5500.0,51,Guaranteed Secured Loan
CUST-10025,32,Salaried-Corporate,Tier-1-Metro,26500.0,742,82900.0,42.4,1,11700.0,34,Enterprise Preferred Express Loan
CUST-10026,42,Salaried-Govt,Tier-2-Urban,18600.0,796,21300.0,21.5,0,4300.0,17,Super-Prime Privilege Loan
CUST-10027,64,Self-Employed-Business,Tier-1-Metro,9500.0,670,18000.0,54.2,1,5400.0,56,Guaranteed Secured Loan
CUST-10028,45,Self-Employed-Business,Rural,7300.0,522,14000.0,40.2,4,3300.0,77,Guaranteed Secured Loan
CUST-10029,47,Self-Employed-Business,Tier-1-Metro,3600.0,707,20500.0,25.5,1,1200.0,34,Enterprise Preferred Express Loan
CUST-10030,62,Salaried-Corporate,Rural,10800.0,711,38300.0,12.6,0,1700.0,20,Enterprise Preferred Express Loan
CUST-10031,48,Salaried-Corporate,Tier-3-SemiUrban,4600.0,764,29300.0,16.5,1,1600.0,21,Enterprise Preferred Express Loan
CUST-10032,36,Self-Employed-Business,Tier-1-Metro,5600.0,850,32600.0,30.9,0,2200.0,15,Enterprise Preferred Express Loan
CUST-10033,35,Salaried-Govt,Tier-3-SemiUrban,4400.0,681,8500.0,31.3,1,2100.0,42,Enterprise Preferred Express Loan
CUST-10034,67,Salaried-Corporate,Rural,6800.0,646,32100.0,44.1,2,3500.0,55,Standard Credit Builder Loan
CUST-10035,64,Self-Employed-Business,Tier-1-Metro,8800.0,622,53400.0,42.1,1,4300.0,51,Standard Credit Builder Loan
CUST-10036,23,Salaried-Govt,Tier-1-Metro,10600.0,725,55600.0,17.5,1,2100.0,24,Enterprise Preferred Express Loan
CUST-10037,57,Self-Employed-Business,Tier-2-Urban,6200.0,746,31000.0,36.0,1,2600.0,35,Enterprise Preferred Express Loan
CUST-10038,27,Self-Employed-Professional,Tier-1-Metro,17000.0,669,102800.0,9.0,1,2000.0,20,Standard Credit Builder Loan
CUST-10039,41,Salaried-Corporate,Tier-1-Metro,7900.0,768,7300.0,26.7,1,2800.0,29,Super-Prime Privilege Loan
CUST-10040,29,Salaried-Corporate,Tier-1-Metro,5600.0,745,33500.0,43.9,2,2700.0,43,Enterprise Preferred Express Loan
CUST-10041,59,Self-Employed-Business,Tier-1-Metro,10300.0,713,26200.0,26.8,1,3300.0,34,Enterprise Preferred Express Loan
CUST-10042,38,Self-Employed-Business,Tier-1-Metro,29100.0,642,139400.0,47.3,3,14000.0,51,Standard Credit Builder Loan
CUST-10043,24,Self-Employed-Business,Tier-1-Metro,11000.0,674,25500.0,53.9,2,6400.0,58,Guaranteed Secured Loan
CUST-10044,45,Self-Employed-Professional,Tier-3-SemiUrban,7200.0,528,48900.0,36.5,2,3200.0,63,Guaranteed Secured Loan
CUST-10045,34,Self-Employed-Professional,Tier-2-Urban,3600.0,728,14800.0,14.8,2,1200.0,30,Enterprise Preferred Express Loan
CUST-10046,29,Gig-Worker,Tier-1-Metro,7900.0,712,42000.0,25.8,0,2300.0,28,Enterprise Preferred Express Loan
CUST-10047,46,Salaried-Govt,Tier-2-Urban,10300.0,724,66500.0,8.4,1,1200.0,17,Enterprise Preferred Express Loan
CUST-10048,22,Salaried-Govt,Tier-2-Urban,7100.0,748,51200.0,36.3,1,3100.0,33,Enterprise Preferred Express Loan
CUST-10049,40,Salaried-Govt,Rural,3300.0,739,19800.0,46.6,1,2300.0,43,Standard Credit Builder Loan
CUST-10050,48,Salaried-Corporate,Tier-1-Metro,5400.0,702,8700.0,37.6,2,2400.0,47,Enterprise Preferred Express Loan
CUST-10051,67,Salaried-Govt,Tier-1-Metro,21400.0,714,147900.0,44.9,0,10100.0,28,Enterprise Preferred Express Loan
CUST-10052,27,Salaried-Corporate,Tier-3-SemiUrban,21200.0,605,109000.0,45.6,0,10100.0,45,Standard Credit Builder Loan
CUST-10053,64,Self-Employed-Professional,Rural,5300.0,666,26900.0,48.0,2,2800.0,56,Standard Credit Builder Loan
CUST-10054,28,Salaried-Govt,Tier-2-Urban,13400.0,714,99300.0,20.5,0,3400.0,18,Enterprise Preferred Express Loan
CUST-10055,67,Salaried-Govt,Tier-3-SemiUrban,4400.0,655,10400.0,48.9,0,2500.0,51,Standard Credit Builder Loan
CUST-10056,55,Salaried-Corporate,Tier-1-Metro,20800.0,775,47800.0,38.7,1,8700.0,31,Enterprise Preferred Express Loan
CUST-10057,34,Salaried-Corporate,Tier-2-Urban,10400.0,661,45200.0,21.6,2,2700.0,39,Standard Credit Builder Loan
CUST-10058,37,Salaried-Corporate,Tier-1-Metro,15800.0,726,96900.0,54.4,1,9200.0,42,Guaranteed Secured Loan
CUST-10059,56,Salaried-Govt,Tier-1-Metro,3200.0,719,12300.0,52.7,3,1900.0,58,Guaranteed Secured Loan
CUST-10060,60,Salaried-Corporate,Tier-3-SemiUrban,13400.0,766,70400.0,35.0,0,5400.0,24,Super-Prime Privilege Loan
CUST-10061,24,Self-Employed-Business,Tier-1-Metro,8900.0,778,34700.0,47.6,2,4600.0,42,Standard Credit Builder Loan
CUST-10062,22,Self-Employed-Professional,Tier-2-Urban,14900.0,762,75700.0,20.3,0,3600.0,15,Super-Prime Privilege Loan
CUST-10063,26,Self-Employed-Professional,Rural,15500.0,552,103300.0,27.6,0,5000.0,41,Guaranteed Secured Loan
CUST-10064,62,Self-Employed-Business,Tier-1-Metro,9300.0,800,17200.0,16.6,1,2100.0,18,Super-Prime Privilege Loan
CUST-10065,24,Salaried-Corporate,Rural,6200.0,825,35400.0,32.4,0,2400.0,19,Super-Prime Privilege Loan
CUST-10066,49,Self-Employed-Professional,Rural,14300.0,674,91600.0,31.3,1,5300.0,34,Standard Credit Builder Loan
CUST-10067,38,Self-Employed-Professional,Tier-2-Urban,8600.0,728,33100.0,18.0,1,1900.0,26,Enterprise Preferred Express Loan
CUST-10068,46,Salaried-Corporate,Tier-1-Metro,5300.0,643,15500.0,39.6,0,2900.0,47,Standard Credit Builder Loan
CUST-10069,64,Self-Employed-Business,Tier-1-Metro,5200.0,564,3100.0,13.5,2,1000.0,49,Guaranteed Secured Loan
CUST-10070,54,Salaried-Corporate,Tier-1-Metro,3700.0,655,24000.0,10.9,1,800.0,31,Standard Credit Builder Loan
CUST-10071,30,Self-Employed-Professional,Tier-1-Metro,6600.0,669,19500.0,26.1,4,2000.0,51,Standard Credit Builder Loan
CUST-10072,56,Gig-Worker,Tier-1-Metro,17400.0,683,55300.0,27.3,2,5000.0,38,Enterprise Preferred Express Loan
CUST-10073,34,Salaried-Corporate,Rural,10000.0,638,30200.0,23.0,0,2700.0,36,Standard Credit Builder Loan
CUST-10074,51,Self-Employed-Professional,Tier-1-Metro,6500.0,655,27600.0,20.1,1,1600.0,36,Standard Credit Builder Loan
CUST-10075,35,Self-Employed-Business,Tier-2-Urban,14500.0,709,83600.0,23.9,1,4300.0,27,Enterprise Preferred Express Loan
CUST-10076,28,Gig-Worker,Tier-1-Metro,5400.0,652,34000.0,15.7,2,1500.0,37,Standard Credit Builder Loan
CUST-10077,34,Salaried-Govt,Tier-2-Urban,9500.0,751,32700.0,27.0,2,2800.0,33,Super-Prime Privilege Loan
CUST-10078,43,Self-Employed-Professional,Tier-3-SemiUrban,8000.0,761,43800.0,50.5,1,4400.0,40,Guaranteed Secured Loan
CUST-10079,60,Salaried-Corporate,Tier-1-Metro,14300.0,850,84400.0,18.5,0,3200.0,5,Super-Prime Privilege Loan
CUST-10080,41,Salaried-Corporate,Tier-1-Metro,3500.0,794,9500.0,40.2,1,1800.0,34,Enterprise Preferred Express Loan
CUST-10081,36,Salaried-Corporate,Tier-2-Urban,5400.0,728,6600.0,14.7,2,1500.0,31,Enterprise Preferred Express Loan
CUST-10082,65,Gig-Worker,Tier-2-Urban,3400.0,663,24500.0,24.6,1,1300.0,38,Standard Credit Builder Loan
CUST-10083,38,Self-Employed-Professional,Tier-2-Urban,7700.0,732,43000.0,23.1,2,2400.0,31,Enterprise Preferred Express Loan
CUST-10084,67,Self-Employed-Professional,Tier-1-Metro,18500.0,734,99200.0,52.0,1,10200.0,39,Guaranteed Secured Loan
CUST-10085,44,Self-Employed-Professional,Tier-1-Metro,6600.0,672,6200.0,28.1,0,2400.0,37,Standard Credit Builder Loan
CUST-10086,46,Salaried-Corporate,Rural,6600.0,769,43800.0,40.5,3,3000.0,41,Enterprise Preferred Express Loan
CUST-10087,45,Salaried-Corporate,Tier-3-SemiUrban,15100.0,605,71700.0,36.3,2,5900.0,51,Standard Credit Builder Loan
CUST-10088,65,Salaried-Corporate,Tier-2-Urban,17000.0,692,116600.0,14.6,0,2700.0,16,Enterprise Preferred Express Loan
CUST-10089,61,Salaried-Corporate,Tier-3-SemiUrban,8500.0,752,66400.0,52.2,0,5000.0,36,Guaranteed Secured Loan
CUST-10090,49,Salaried-Corporate,Tier-2-Urban,13500.0,688,103700.0,24.3,1,3800.0,27,Enterprise Preferred Express Loan
CUST-10091,35,Salaried-Govt,Tier-1-Metro,4700.0,694,32500.0,10.1,2,1100.0,29,Enterprise Preferred Express Loan
CUST-10092,65,Salaried-Corporate,Tier-1-Metro,20500.0,700,11900.0,22.1,1,4900.0,34,Enterprise Preferred Express Loan
CUST-10093,21,Salaried-Corporate,Tier-1-Metro,32500.0,647,232100.0,23.8,0,8200.0,15,Standard Credit Builder Loan
CUST-10094,45,Salaried-Corporate,Tier-2-Urban,12200.0,798,13000.0,12.4,1,1800.0,16,Super-Prime Privilege Loan
CUST-10095,27,Salaried-Corporate,Tier-1-Metro,2600.0,634,17900.0,37.1,0,1500.0,46,Standard Credit Builder Loan
CUST-10096,29,Gig-Worker,Tier-1-Metro,6400.0,734,16600.0,24.3,1,2300.0,31,Enterprise Preferred Express Loan
CUST-10097,44,Self-Employed-Business,Tier-3-SemiUrban,12900.0,741,65500.0,37.6,1,5500.0,33,Enterprise Preferred Express Loan
CUST-10098,21,Gig-Worker,Tier-2-Urban,7000.0,639,5500.0,8.3,2,1300.0,37,Standard Credit Builder Loan
CUST-10099,64,Salaried-Govt,Tier-2-Urban,19200.0,715,120700.0,54.2,1,11200.0,40,Guaranteed Secured Loan
CUST-10100,28,Salaried-Corporate,Tier-3-SemiUrban,12700.0,642,17000.0,16.0,1,2700.0,36,Standard Credit Builder Loan
CUST-10101,44,Self-Employed-Business,Tier-1-Metro,5900.0,814,21100.0,39.0,1,2700.0,30,Enterprise Preferred Express Loan
CUST-10102,31,Salaried-Corporate,Tier-2-Urban,9100.0,625,60300.0,41.6,1,4100.0,49,Standard Credit Builder Loan
CUST-10103,37,Salaried-Corporate,Tier-3-SemiUrban,5200.0,661,29700.0,16.1,0,1300.0,29,Standard Credit Builder Loan
CUST-10104,28,Salaried-Corporate,Tier-2-Urban,8000.0,618,4400.0,13.3,1,1900.0,39,Standard Credit Builder Loan
CUST-10105,55,Salaried-Corporate,Tier-1-Metro,6400.0,608,22500.0,15.2,0,1400.0,35,Standard Credit Builder Loan
CUST-10106,55,Salaried-Corporate,Tier-1-Metro,18100.0,829,14700.0,19.6,2,3900.0,21,Super-Prime Privilege Loan
CUST-10107,53,Salaried-Corporate,Tier-3-SemiUrban,31900.0,751,177100.0,15.9,2,5800.0,11,Super-Prime Privilege Loan
CUST-10108,25,Self-Employed-Business,Tier-2-Urban,3800.0,721,29500.0,39.7,1,1900.0,40,Enterprise Preferred Express Loan
CUST-10109,62,Salaried-Corporate,Tier-3-SemiUrban,2800.0,661,15200.0,27.8,2,1400.0,45,Standard Credit Builder Loan
CUST-10110,59,Salaried-Corporate,Tier-2-Urban,7700.0,778,16800.0,33.3,2,3200.0,35,Enterprise Preferred Express Loan
CUST-10111,61,Self-Employed-Professional,Tier-2-Urban,3600.0,648,11400.0,10.2,2,1100.0,37,Standard Credit Builder Loan
CUST-10112,48,Salaried-Corporate,Tier-3-SemiUrban,9200.0,770,72000.0,48.5,0,5200.0,31,Standard Credit Builder Loan
CUST-10113,27,Salaried-Corporate,Tier-2-Urban,14000.0,645,30500.0,16.0,1,2900.0,35,Standard Credit Builder Loan
CUST-10114,29,Self-Employed-Professional,Tier-1-Metro,21900.0,662,103200.0,24.9,1,6100.0,31,Standard Credit Builder Loan
CUST-10115,28,Salaried-Corporate,Tier-2-Urban,10100.0,767,35400.0,11.4,1,1600.0,17,Super-Prime Privilege Loan
CUST-10116,32,Salaried-Corporate,Tier-3-SemiUrban,8000.0,775,50100.0,14.4,0,1800.0,12,Super-Prime Privilege Loan
CUST-10117,54,Salaried-Govt,Tier-1-Metro,2700.0,755,18900.0,39.3,1,1800.0,37,Standard Credit Builder Loan
CUST-10118,53,Salaried-Corporate,Tier-1-Metro,9100.0,631,27800.0,40.6,1,4100.0,51,Standard Credit Builder Loan
CUST-10119,43,Salaried-Govt,Tier-1-Metro,9300.0,676,50700.0,39.8,2,4100.0,47,Standard Credit Builder Loan
CUST-10120,44,Self-Employed-Professional,Tier-3-SemiUrban,13100.0,722,60500.0,34.0,2,4900.0,37,Enterprise Preferred Express Loan
CUST-10121,57,Salaried-Corporate,Tier-1-Metro,5900.0,646,15300.0,52.8,0,3600.0,54,Guaranteed Secured Loan
CUST-10122,55,Salaried-Govt,Tier-2-Urban,6900.0,813,17500.0,31.8,0,2400.0,22,Super-Prime Privilege Loan
CUST-10123,64,Salaried-Govt,Tier-1-Metro,3700.0,530,16800.0,29.1,1,1700.0,57,Guaranteed Secured Loan
CUST-10124,60,Salaried-Corporate,Tier-1-Metro,2300.0,652,3800.0,19.6,1,700.0,39,Standard Credit Builder Loan
CUST-10125,42,Self-Employed-Business,Tier-2-Urban,4600.0,672,30300.0,12.6,1,900.0,29,Standard Credit Builder Loan
CUST-10126,47,Salaried-Corporate,Tier-1-Metro,3500.0,497,3600.0,33.8,2,1500.0,69,Guaranteed Secured Loan
CUST-10127,55,Salaried-Govt,Tier-2-Urban,11000.0,605,13300.0,22.8,2,3100.0,49,Standard Credit Builder Loan
CUST-10128,21,Salaried-Corporate,Tier-3-SemiUrban,6600.0,757,20200.0,32.6,0,2500.0,28,Super-Prime Privilege Loan
CUST-10129,55,Salaried-Govt,Tier-3-SemiUrban,6500.0,712,9000.0,17.7,1,1600.0,30,Enterprise Preferred Express Loan
CUST-10130,57,Salaried-Corporate,Tier-1-Metro,5000.0,828,20300.0,47.4,2,3100.0,37,Standard Credit Builder Loan
CUST-10131,67,Self-Employed-Professional,Tier-3-SemiUrban,1800.0,826,6300.0,55.0,2,1700.0,43,Guaranteed Secured Loan
CUST-10132,34,Salaried-Corporate,Tier-2-Urban,22100.0,742,130700.0,23.2,0,5800.0,14,Enterprise Preferred Express Loan
CUST-10133,23,Salaried-Govt,Tier-3-SemiUrban,4900.0,733,37500.0,47.6,0,2900.0,39,Standard Credit Builder Loan
CUST-10134,21,Salaried-Govt,Tier-2-Urban,7000.0,715,43100.0,49.0,0,4100.0,41,Standard Credit Builder Loan
CUST-10135,25,Self-Employed-Business,Tier-2-Urban,3700.0,511,6800.0,54.8,3,2700.0,84,Guaranteed Secured Loan
CUST-10136,46,Salaried-Govt,Tier-3-SemiUrban,16000.0,605,120300.0,24.1,1,4600.0,35,Standard Credit Builder Loan
CUST-10137,34,Self-Employed-Business,Tier-3-SemiUrban,9800.0,718,33700.0,43.5,1,4500.0,42,Enterprise Preferred Express Loan
CUST-10138,59,Self-Employed-Business,Tier-1-Metro,5500.0,756,22300.0,18.8,0,1300.0,20,Enterprise Preferred Express Loan
CUST-10139,47,Self-Employed-Professional,Tier-1-Metro,7100.0,732,26000.0,37.4,0,3000.0,34,Enterprise Preferred Express Loan
CUST-10140,29,Salaried-Corporate,Tier-1-Metro,24500.0,643,63800.0,41.1,1,10800.0,47,Standard Credit Builder Loan
CUST-10141,35,Salaried-Govt,Tier-1-Metro,8600.0,780,62000.0,42.8,1,4200.0,32,Enterprise Preferred Express Loan
CUST-10142,35,Self-Employed-Professional,Tier-1-Metro,8000.0,821,23900.0,17.7,1,1900.0,16,Super-Prime Privilege Loan
CUST-10143,46,Gig-Worker,Tier-1-Metro,5100.0,780,24700.0,47.9,0,3000.0,35,Standard Credit Builder Loan
CUST-10144,62,Self-Employed-Professional,Tier-3-SemiUrban,2900.0,784,6700.0,27.8,1,1500.0,28,Standard Credit Builder Loan
CUST-10145,33,Salaried-Corporate,Tier-1-Metro,8100.0,668,52500.0,18.2,2,2200.0,35,Standard Credit Builder Loan
CUST-10146,52,Salaried-Corporate,Tier-2-Urban,10900.0,791,68700.0,33.5,0,4300.0,20,Super-Prime Privilege Loan
CUST-10147,59,Salaried-Govt,Tier-1-Metro,17300.0,721,47100.0,48.6,2,9100.0,48,Standard Credit Builder Loan
CUST-10148,52,Self-Employed-Business,Tier-1-Metro,2300.0,748,12900.0,53.5,0,1600.0,43,Guaranteed Secured Loan
CUST-10149,24,Salaried-Govt,Tier-1-Metro,4600.0,737,26600.0,43.2,0,2500.0,37,Enterprise Preferred Express Loan
CUST-10150,50,Salaried-Govt,Tier-1-Metro,6300.0,701,29700.0,8.3,1,1300.0,24,Enterprise Preferred Express Loan
CUST-10151,57,Self-Employed-Professional,Tier-3-SemiUrban,8900.0,645,44500.0,14.3,3,1900.0,40,Standard Credit Builder Loan
CUST-10152,43,Salaried-Corporate,Tier-3-SemiUrban,8200.0,704,39400.0,11.6,0,1600.0,20,Enterprise Preferred Express Loan
CUST-10153,59,Self-Employed-Professional,Tier-1-Metro,8300.0,784,9200.0,12.8,1,1300.0,19,Super-Prime Privilege Loan
CUST-10154,65,Salaried-Govt,Tier-2-Urban,11400.0,677,63000.0,26.0,1,3200.0,34,Standard Credit Builder Loan
CUST-10155,35,Salaried-Corporate,Tier-2-Urban,5200.0,777,20900.0,23.9,0,1500.0,21,Enterprise Preferred Express Loan
CUST-10156,63,Salaried-Govt,Tier-3-SemiUrban,15700.0,765,59500.0,13.3,0,2600.0,12,Super-Prime Privilege Loan
